Inference providers,LLama 3.1 8b instruct ingest price,LLama 3.1 8b instruct output price,LLama 3.1 70b instruct ingest price,LLama 3.1 70b instruct output price
Groq,$0.05,$0.08,$0.59,$0.79
Deepinfra,$0.06,$0.06,$0.52,$0.75
OctoAI,$0.15,$0.15,$0.90,$0.90
Lepton AI,$0.07,$0.07,$0.80,$0.80
Fireworks AI,$0.20,$0.20,$0.90,$0.90
Perplexity,$0.20,$0.20,$1.00,$1.00
Together.ai,$0.18,$0.18,$0.88,$0.88
Databricks,,,$1.00,$1.00
NVIDIA H100,0.13819152503408116,0.14993358240180893,,
NVIDIA L4,0.41777757572197777,0.4546602500521734,,
